 0325.01  -73.634   45.428   2040     22111    .389  3.310
 0325.03  -73.622   45.434   1955     21767    .479  3.027
 0328.00  -73.653   45.433    700     17208    .473  3.241
 0355.00  -73.595   45.490    830    103642    .310  2.335
 0366.00  -73.616   45.517   1660     45029    .333  2.762
 0381.00  -73.661   45.460   1975     22404    .587  5.820
 0383.02  -73.668   45.478   2990     32384   1.488  5.519
 0391.00  -73.675   45.434    705     21912    .707  4.382
 0395.02  -73.690   45.442   2885     24369    .672  3.544
 0397.00  -73.711   45.444   1970     30498   1.184  4.895
 0403.00  -73.654   45.512   2890     50095   1.360  4.930
 0410.01  -73.683   45.524   2265     26858    .845  4.226
 0412.00  -73.679   45.504   2670     26734   1.490  5.882
 0431.00  -73.752   45.443   2740     35046   6.001 12.698
 0450.00  -73.807   45.437   3630     37387  19.886 17.755
 0453.02  -73.814   45.470   1805     28582   6.646 14.448
 0461.00  -73.889   45.421   1450     37859   2.704  7.106
 0462.01  -73.852   45.439   2895     41726   2.372  6.835
 0470.03  -73.890   45.444   1930     42663   2.393  6.978
 0490.00  -73.951   45.407   1295     20382    .997  5.070
 0510.00  -73.758   45.502   1225     27250    .742  6.729
 0512.01  -73.833   45.510   4045     27672   2.819  8.838
 0514.02  -73.866   45.471   3095     28781   1.920  6.208
 0550.01  -73.880   45.503   5620     37686  11.713 14.239
 0580.01  -73.497   45.677   2050     24611   1.732  5.401
 0582.01  -73.499   45.653   3735     28347   1.675  6.334
 0583.00  -73.501   45.643   1585     22761   1.168  6.972
 0590.01  -73.547   45.617   2875     26388   1.456  6.324
 0594.01  -73.573   45.603   1710     20571    .398  2.929
 0602.01  -73.587   45.579   1540     25123    .547  3.193
 0604.01  -73.608   45.594   1725     26519    .905  5.421
 0610.01  -73.611   45.609   1995     18952    .964  5.154
 0610.04  -73.622   45.621   1570     17484    .198  1.782
 0615.00  -73.641   45.590   2245     21441    .561  3.112
 0617.02  -73.634   45.608   1810     22035    .757  3.866
 0628.01  -73.659   45.602   2325     27060   2.000  7.116
 0632.01  -73.719   45.601   2730     28561   1.505  4.890
 0636.00  -73.694   45.581   2815     21218   2.222  6.087
 0637.01  -73.717   45.583   3010     24518   1.572  5.493
 0638.02  -73.695   45.565   1105     25499    .458  3.172
 0640.00  -73.710   45.547   1615     27298    .980  4.305
 0643.00  -73.760   45.565   3065     22500   8.231 11.647
 0646.01  -73.741   45.541   1325     19545    .511  3.111
 0650.01  -73.769   45.539   2530     18627    .755  4.530
 0655.01  -73.875   45.547   1810     22958   2.499  7.163
 0656.02  -73.828   45.561   3475     27425   6.105 12.660
 0659.01  -73.795   45.608   5350     27078   5.123 14.140
 0660.01  -73.748   45.613   1995     33256   2.063  6.470
 0661.02  -73.721   45.654   3855     28075  21.507 21.483
 0675.00  -73.459   45.727   2680     28823   9.010 16.563
 0677.02  -73.446   45.754   3340     24875   2.210  7.090
 0681.00  -73.364   45.828   1730     24575  54.330 38.637
 0684.02  -73.626   45.710   5695     29219  11.669 18.324
 0688.00  -73.820   45.765   5970     23765  94.491 41.510
 0702.01  -73.775   45.660   1215     32445   2.262  7.494
 0704.03  -73.885   45.623   3750     28305  17.065 23.540
 0726.02  -73.892   45.571   4025     25535   2.177  6.960
 0728.00  -73.909   45.545   6175     27275   4.601 10.143
 0731.00  -73.974   45.502   2460     23143  12.390 15.671
 0740.00  -74.186   45.748   3205     23264 191.299 68.695
 0751.01  -73.983   45.381   2715     28766   3.724  8.411
 0756.01  -74.036   45.402   4305     26967   7.117 10.934
 0756.02  -74.206   45.448    335     27600  10.709 14.590
 0775.00  -73.801   45.343   1255     30673  30.820 25.208
 0780.00  -73.989   45.777   1650     25936   1.457  6.129
 0782.00  -74.019   45.770   1505     20303   2.607  8.161
 0786.00  -73.985   45.757   2380     24225   3.349  8.107
 0788.00  -74.007   45.802   2240     22976   2.172  6.703
 0800.00  -73.731   45.379   3705     26316   5.297 13.622
 0806.02  -73.700   45.347   2575     24622   4.844 10.503
 0825.01  -73.417   45.443   3340     29369  12.748 19.707
 0825.04  -73.482   45.470   2980     23568   1.755  5.983
 0826.03  -73.481   45.443   8010     40441   9.069 12.650
 0828.01  -73.521   45.385   4360     30683   6.965 14.671
 0831.01  -73.580   45.384   7835     28027   5.862 11.699
 0850.01  -73.312   45.431   2970     27760   4.209 13.229
 0852.02  -73.255   45.411    395     27743   9.087 18.652
 0853.01  -73.288   45.508   4495     28226  16.351 18.018
 0855.01  -73.379   45.520   3115     31537   7.845 17.109
 0857.01  -73.413   45.495   2900     27594   1.502  7.994
 0860.01  -73.449   45.489   3725     25694   1.682  5.376
 0861.00  -73.484   45.491   3060     24784   1.904  5.937
 0865.00  -73.494   45.508    930     19916    .433  3.860
 0869.00  -73.450   45.512   1845     26820   1.053  4.170
 0871.01  -73.471   45.521   1880     22638    .733  3.436
 0874.00  -73.475   45.532   2195     21516    .850  3.761
 0876.02  -73.443   45.545   6745     29913   7.204 13.498
 0879.01  -73.489   45.528   1555     21829    .621  3.215
 0889.01  -73.449   45.608   1365     25515   1.396  4.607
 0900.00  -73.216   45.555   2430     26420   2.508  8.166
 0901.02  -73.204   45.578   2755     28451   1.705  5.581
 0903.02  -73.352   45.595   7350     29928   8.461 13.844
 0002.00  -73.518   45.607   1255     22232    .386  2.980
 0008.00  -73.515   45.589   1520     27479    .747  4.637
 0011.00  -73.535   45.587   1765     25214   1.235  4.392
 0013.00  -73.544   45.571   2165     23001   1.083  4.212
 0014.01  -73.545   45.558   2440     21971    .905  4.284
 0016.00  -73.526   45.557    970     20397   1.074  4.511
 0021.00  -73.535   45.545    845     19709    .963  4.358
 0024.00  -73.545   45.541    785     20988    .260  2.312
 0032.00  -73.559   45.537    725     16255    .123  1.523
 0039.00  -73.547   45.528    460     17106    .471  3.435
 0043.00  -73.552   45.518    380     16434    .415  3.350
 0047.00  -73.557   45.526    335     19320    .116  1.374
 0050.00  -73.564   45.522    455     16686    .070  1.097
 0052.00  -73.561   45.518    890     18931    .138  1.576
 0057.00  -73.560   45.509    130     13157    .145  1.671
 0061.00  -73.568   45.509    315     25019    .213  1.866
 0064.00  -73.578   45.498    525     12138    .240  2.088
 0065.02  -73.585   45.491   1545     28512    .144  1.533
 0066.01  -73.578   45.492   1455     21963    .195  1.787
 0069.00  -73.565   45.495   1260     40034    .721  4.826
 0075.00  -73.567   45.479    940     20135    .316  2.812
 0080.00  -73.583   45.483    505     25944    .086  1.315
 0082.00  -73.593   45.474    720     15407    .317  2.627
 0087.00  -73.593   45.463   1070     18596    .269  2.220
 0089.00  -73.589   45.451   2220     23465    .478  3.224
 0096.00  -73.612   45.471   1340     23934    .194  1.907
 0098.00  -73.648   45.459   2705     27827   1.017  4.364
 0101.02  -73.645   45.471   1445     17867    .355  2.451
 0103.00  -73.623   45.470   1400     44481    .336  2.366
 0105.00  -73.628   45.476   2080     36710    .295  2.309
 0112.01  -73.644   45.494   1595     17104    .498  2.835
 0113.00  -73.631   45.488   2455     20833    .509  2.856
 0115.01  -73.620   45.488   1140     39150    .211  2.154
 0122.00  -73.633   45.506   2680     15581    .662  3.389
 0127.02  -73.607   45.501  -9999     -9999   1.250  4.853
 0131.00  -73.575   45.509   1810     23018    .102  1.589
 0133.00  -73.572   45.515   1645     22777    .144  1.575
 0138.00  -73.585   45.517   1270     21972    .292  2.190
 0141.00  -73.578   45.524   1060     26104    .115  1.545
 0147.00  -73.574   45.530   1650     26604    .165  1.643
 0149.00  -73.567   45.530   2060     24111    .139  1.542
 0152.00  -73.568   45.537   1010     21477    .135  1.519
 0155.00  -73.574   45.537   1135     22689    .107  1.379
 0158.00  -73.581   45.530   1225     22702    .144  1.546
 0162.00  -73.589   45.524    940     21689    .094  1.383
 0165.00  -73.604   45.522   1285     20003    .164  3.260
 0175.00  -73.585   45.535   1065     23272    .109  1.638
 0181.00  -73.574   45.546   1695     20873    .321  2.470
 0185.00  -73.574   45.557   2440     22127    .390  2.566
 0187.01  -73.559   45.546   1135     25400    .356  3.109
 0193.00  -73.536   45.605   1095     26179    .271  2.702
 0195.02  -73.562   45.584   2645     27248    .604  4.477
 0196.00  -73.568   45.572   2015     25096    .395  2.534
 0199.00  -73.576   45.563   1055     22951    .224  1.900
 0202.00  -73.588   45.555   1850     23157    .612  3.368
 0207.00  -73.599   45.546   1650     22487    .256  2.081
 0210.00  -73.595   45.535   1530     16888    .344  2.446
 0217.00  -73.609   45.533   1160     15914    .157  1.620
 0220.00  -73.624   45.529   1880     11726    .395  2.672
 0223.02  -73.640   45.530   1165     14727    .199  1.804
 0225.00  -73.639   45.537    670     21711    .660  3.261
 0230.00  -73.626   45.539   1045     22400    .113  1.402
 0233.00  -73.619   45.540    970     18173    .110  1.766
 0236.00  -73.627   45.544    810     19735    .110  1.444
 0241.00  -73.617   45.554   1150     15428    .208  2.013
 0243.00  -73.613   45.548   1535     19194    .251  2.125
 0247.00  -73.610   45.542   1300     20625    .196  1.846
 0252.00  -73.595   45.562   2010     17221    .329  2.349
 0258.00  -73.609   45.576   1625     16055    .404  3.202
 0260.00  -73.630   45.578    960     14707    .529  3.113
 0264.01  -73.643   45.558   2720     29989   1.196  4.470
 0268.02  -73.675   45.533   1715     21005    .347  3.418
 0269.00  -73.664   45.543   1650     22432    .782  3.614
 0274.00  -73.643   45.575   1445     21672    .484  2.790
 0276.00  -73.656   45.573   2355     24869   1.512  6.799
 0278.00  -73.665   45.560   2210     27001    .807  3.952
 0281.00  -73.682   45.546   1695     36693   1.355  5.192
 0284.00  -73.704   45.540   1685     28836    .682  3.363
 0286.00  -73.698   45.529   1995     21514    .802  4.742
 0287.02  -73.727   45.526   2180     30878   1.346  6.206
 0290.02  -73.578   45.635   3015     21024   1.710  5.573
 0290.03  -73.603   45.630   1895     25500    .635  3.280
 0301.00  -73.568   45.471   2230     20414    .427  2.670
 0304.00  -73.576   45.461   1090     22384    .297  2.293
 0307.00  -73.570   45.457   1165     18003    .175  1.703
 0315.00  -73.585   45.442      0         0   3.944 12.698
 0322.01  -73.605   45.424   3715     25366   2.772  6.998
 0324.02  -73.632   45.424   1270     24842    .650  3.648
 0326.01  -73.621   45.447   1560     23647   2.517  7.177
 0329.00  -73.661   45.430   1790     24040   1.190  4.862
 0354.00  -73.605   45.484   1875     76397    .823  4.387
 0367.00  -73.621   45.519   2055     37752    .558  3.075
